unit_id,doc_overall-truthfulness_value,doc_correctness_value
unit_1,1.0,1.0
unit_1,2.0,2.0
unit_1,2.0,0.0
unit_1,2.0,2.0
unit_1,0.0,0.0
unit_1,-1.0,-2.0
unit_1,-2.0,-2.0
unit_1,2.0,2.0
unit_1,0.0,0.0
unit_1,0.0,0.0
unit_1,-2.0,-2.0
unit_3,1.0,0.0
unit_3,1.0,0.0
unit_3,2.0,0.0
unit_3,1.0,0.0
unit_3,0.0,1.0
unit_3,-1.0,0.0
unit_3,1.0,0.0
unit_3,2.0,1.0
unit_3,2.0,1.0
unit_3,-1.0,0.0
unit_3,2.0,0.0
unit_5,2.0,2.0
unit_5,1.0,1.0
unit_5,2.0,1.0
unit_5,2.0,2.0
unit_5,1.0,1.0
unit_5,2.0,1.0
unit_5,2.0,1.0
unit_5,2.0,2.0
unit_5,2.0,2.0
unit_5,2.0,1.0
unit_5,2.0,2.0
unit_7,0.0,0.0
unit_7,0.0,-1.0
unit_7,0.0,-1.0
unit_7,0.0,0.0
unit_7,-2.0,-2.0
unit_7,-2.0,-1.0
unit_7,-2.0,-2.0
unit_7,0.0,0.0
unit_7,2.0,2.0
unit_7,0.0,0.0
unit_7,0.0,0.0
unit_9,0.0,0.0
unit_9,2.0,2.0
unit_9,2.0,2.0
unit_9,-1.0,-1.0
unit_9,-1.0,-2.0
unit_9,1.0,1.0
unit_9,0.0,0.0
unit_9,-2.0,-2.0
unit_9,0.0,0.0
unit_9,1.0,1.0
unit_9,0.0,0.0
unit_11,-1.0,-1.0
unit_11,-1.0,-1.0
unit_11,-2.0,-2.0
unit_11,-1.0,-1.0
unit_11,-2.0,-2.0
unit_11,1.0,1.0
unit_11,-2.0,-2.0
unit_11,-1.0,-1.0
unit_11,1.0,1.0
unit_11,-2.0,-2.0
unit_11,1.0,1.0
unit_13,-1.0,-2.0
unit_13,1.0,1.0
unit_13,1.0,0.0
unit_13,0.0,0.0
unit_13,2.0,2.0
unit_13,-2.0,-2.0
unit_13,0.0,-2.0
unit_13,-1.0,0.0
unit_13,0.0,1.0
unit_13,1.0,1.0
unit_13,1.0,1.0
unit_15,2.0,1.0
unit_15,-2.0,-2.0
unit_15,0.0,0.0
unit_15,0.0,1.0
unit_15,1.0,0.0
unit_15,-1.0,-1.0
unit_15,1.0,-1.0
unit_15,0.0,1.0
unit_15,0.0,1.0
unit_15,1.0,-1.0
unit_15,0.0,0.0
unit_17,2.0,2.0
unit_17,-2.0,-2.0
unit_17,2.0,2.0
unit_17,-2.0,-2.0
unit_17,1.0,1.0
unit_17,-2.0,-2.0
unit_17,1.0,1.0
unit_17,1.0,1.0
unit_17,2.0,2.0
unit_17,2.0,1.0
unit_17,1.0,1.0
unit_19,-2.0,-2.0
unit_19,0.0,0.0
unit_19,1.0,-1.0
unit_19,-2.0,-2.0
unit_19,-1.0,-2.0
unit_19,0.0,0.0
unit_19,-2.0,-2.0
unit_19,2.0,2.0
unit_19,1.0,1.0
unit_19,2.0,2.0
unit_19,2.0,2.0
unit_21,0.0,1.0
unit_21,1.0,0.0
unit_21,2.0,1.0
unit_21,0.0,-1.0
unit_21,0.0,0.0
unit_21,-2.0,-1.0
unit_21,1.0,0.0
unit_21,1.0,1.0
unit_21,-1.0,-1.0
unit_21,-1.0,-1.0
unit_21,2.0,2.0
unit_23,2.0,1.0
unit_23,2.0,2.0
unit_23,2.0,2.0
unit_23,1.0,2.0
unit_23,1.0,2.0
unit_23,1.0,2.0
unit_23,1.0,2.0
unit_23,1.0,1.0
unit_23,1.0,2.0
unit_23,1.0,2.0
unit_23,1.0,2.0
unit_25,0.0,-1.0
unit_25,-1.0,1.0
unit_25,-1.0,-1.0
unit_25,1.0,-1.0
unit_25,-1.0,1.0
unit_25,0.0,0.0
unit_25,-1.0,-1.0
unit_25,1.0,-1.0
unit_25,1.0,-1.0
unit_25,-1.0,0.0
unit_25,1.0,-1.0
unit_27,-2.0,-2.0
unit_27,1.0,2.0
unit_27,1.0,0.0
unit_27,2.0,1.0
unit_27,-1.0,0.0
unit_27,1.0,0.0
unit_27,2.0,1.0
unit_27,0.0,-1.0
unit_27,2.0,1.0
unit_27,2.0,1.0
unit_27,1.0,0.0
unit_29,1.0,2.0
unit_29,1.0,0.0
unit_29,0.0,-1.0
unit_29,2.0,-1.0
unit_29,-1.0,-1.0
unit_29,0.0,2.0
unit_29,-1.0,2.0
unit_29,0.0,0.0
unit_29,-1.0,1.0
unit_29,0.0,2.0
unit_29,1.0,-1.0
unit_31,1.0,0.0
unit_31,0.0,-1.0
unit_31,2.0,2.0
unit_31,1.0,0.0
unit_31,-1.0,1.0
unit_31,-1.0,-1.0
unit_31,-2.0,-2.0
unit_31,-2.0,-2.0
unit_31,1.0,1.0
unit_31,2.0,1.0
unit_31,1.0,1.0
unit_33,-2.0,-2.0
unit_33,-1.0,-1.0
unit_33,0.0,0.0
unit_33,-2.0,-2.0
unit_33,1.0,1.0
unit_33,-1.0,-1.0
unit_33,1.0,1.0
unit_33,-2.0,-2.0
unit_33,1.0,1.0
unit_33,1.0,0.0
unit_33,1.0,1.0
unit_35,-2.0,-2.0
unit_35,-2.0,-2.0
unit_35,-2.0,-1.0
unit_35,0.0,0.0
unit_35,1.0,0.0
unit_35,-2.0,-1.0
unit_35,-2.0,0.0
unit_35,1.0,1.0
unit_35,-1.0,-1.0
unit_35,1.0,1.0
unit_35,0.0,-1.0
unit_37,1.0,1.0
unit_37,1.0,0.0
unit_37,1.0,1.0
unit_37,2.0,2.0
unit_37,2.0,2.0
unit_37,1.0,1.0
unit_37,2.0,2.0
unit_37,2.0,2.0
unit_37,2.0,1.0
unit_37,2.0,1.0
unit_37,2.0,0.0
unit_39,-2.0,-2.0
unit_39,2.0,0.0
unit_39,2.0,2.0
unit_39,2.0,2.0
unit_39,0.0,0.0
unit_39,0.0,0.0
unit_39,0.0,0.0
unit_39,0.0,0.0
unit_39,2.0,2.0
unit_39,2.0,2.0
unit_39,0.0,0.0
unit_41,2.0,2.0
unit_41,1.0,1.0
unit_41,-2.0,-2.0
unit_41,-1.0,-1.0
unit_41,-2.0,-1.0
unit_41,2.0,2.0
unit_41,-2.0,-2.0
unit_41,2.0,2.0
unit_41,2.0,2.0
unit_41,-1.0,-1.0
unit_41,1.0,1.0
unit_43,1.0,1.0
unit_43,1.0,0.0
unit_43,0.0,0.0
unit_43,-2.0,-2.0
unit_43,-1.0,-1.0
unit_43,-1.0,-1.0
unit_43,2.0,1.0
unit_43,2.0,2.0
unit_43,1.0,1.0
unit_43,1.0,2.0
unit_43,0.0,1.0
unit_45,-1.0,-1.0
unit_45,-2.0,-2.0
unit_45,-1.0,-1.0
unit_45,1.0,1.0
unit_45,-1.0,-1.0
unit_45,1.0,1.0
unit_45,2.0,2.0
unit_45,-2.0,-2.0
unit_45,-1.0,-1.0
unit_45,-1.0,-1.0
unit_45,-1.0,-1.0
unit_47,2.0,2.0
unit_47,1.0,1.0
unit_47,1.0,1.0
unit_47,-2.0,-2.0
unit_47,1.0,0.0
unit_47,-2.0,-2.0
unit_47,1.0,-1.0
unit_47,1.0,0.0
unit_47,0.0,1.0
unit_47,-1.0,1.0
unit_47,0.0,1.0
unit_49,1.0,0.0
